Player,Team,Pos,GP,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,W%
Dummy,Dynasty,5,10,0.60,5,28,63,2.40,0.64,0.05,0.22,0.20,12,106,-0.5,1.00,0.03,154,0.10,86,0.09,1.22,0.31,0.30
FatShield,Dynasty,1,10,0.40,25,24,49,3.10,0.70,0.24,0.19,0.50,148,27,0,7.40,0.25,432,0.27,240,0.25,0.41,0.14,0.30
Furuy,PSV Esports,3,10,0.40,37,22,84,5.50,0.69,0.21,0.23,0.30,-43,40,4.6,9.00,0.26,565,0.27,290,0.23,0.39,0.15,0.80
Gijsje,mCon esports Rotterdam,5,10,0.67,5,33,38,1.30,0.54,0.06,0.18,0.10,-140,16,1.5,1.20,0.04,111,0.08,81,0.10,0.84,0.29,0.10
Hachi,mCon esports Rotterdam,1,10,0.33,23,36,16,1.10,0.49,0.29,0.20,0.20,-226,-321,-4.5,7.20,0.27,302,0.23,209,0.24,0.44,0.11,0.10
Hades,LowLandLions,2,9,0.56,32,19,58,4.70,0.72,0.26,0.18,0.44,140,183,4.2,6.20,0.19,358,0.18,233,0.21,0.48,0.32,0.67
Hades,LowLandLions,5,1,0.00,1,5,6,1.40,0.39,0.06,0.14,0.00,-98,744,4,1.80,0.15,394,0.16,135,0.13,1.73,0.39,0.00
Jkalam,Team Echo Zulu,4,10,0.60,28,27,39,2.50,0.68,0.28,0.18,0.20,-134,-16,1.5,8.40,0.28,475,0.26,255,0.26,0.43,0.27,0.40
Joekie,PSV Esports,2,1,1.00,2,0,14,16.00,0.44,0.06,0.00,0.00,171,79,0,5.50,0.22,319,0.10,208,0.14,0.31,0.35,1.00
Kitty,PSV Esports,4,10,0.50,61,18,61,6.80,0.69,0.35,0.19,0.30,203,227,5.4,8.60,0.27,577,0.27,325,0.26,0.44,0.26,0.80
Kruimel,Team THRLL,3,9,0.63,42,19,80,6.40,0.66,0.23,0.18,0.33,455,337,4.2,7.70,0.22,545,0.24,273,0.22,0.43,0.18,0.78
Kubu,Team THRLL,1,10,0.67,36,20,76,5.60,0.57,0.18,0.19,0.30,372,419,12.2,8.70,0.27,513,0.23,292,0.24,0.47,0.16,0.80
Lian,Dynasty,2,10,0.50,18,27,63,3.00,0.76,0.17,0.21,0.60,201,223,4.6,5.30,0.16,252,0.15,182,0.19,0.6,0.34,0.30
Looca,LowLandLions,1,10,0.60,24,29,46,2.40,0.49,0.17,0.20,0.00,-103,-134,-4.9,7.30,0.24,407,0.20,240,0.21,0.48,0.12,0.60
Mytheos,Team THRLL,4,7,0.33,43,18,55,5.40,0.65,0.29,0.21,0.29,403,-1,13,8.80,0.29,688,0.29,311,0.25,0.3,0.13,0.71
Mytheos,Team THRLL,3,1,0.00,4,1,1,5.00,0.42,0.33,0.20,0.00,408,-176,3,9.90,0.27,451,0.29,335,0.25,0.42,0.15,1.00
Orre,LowLandLions,4,9,0.44,28,21,58,4.10,0.69,0.22,0.20,0.33,223,266,3.7,7.70,0.24,505,0.26,266,0.23,0.31,0.21,0.67
Orre,LowLandLions,3,1,1.00,10,4,1,2.80,0.61,0.56,0.11,0.00,700,645,0,6.80,0.25,750,0.30,339,0.31,0.16,0.04,0.00
Pieter05,mCon esports Rotterdam,2,10,0.44,13,39,36,1.30,0.62,0.17,0.22,0.20,-471,-514,-11.8,4.40,0.13,165,0.12,143,0.17,0.59,0.34,0.10
Quicktimer,LowLandLions,4,1,0.00,1,10,5,0.60,0.33,0.06,0.28,0.00,-270,189,-2,6.70,0.28,454,0.18,188,0.18,0.35,0.2,0.00
Quicktimer,LowLandLions,5,8,0.25,3,25,74,3.10,0.68,0.03,0.29,0.38,71,-80,-0.3,1.10,0.03,184,0.09,117,0.10,1.45,0.34,0.75
Raqo,LowLandLions,2,1,0.00,2,5,4,1.20,0.33,0.11,0.14,0.00,-171,-79,0,4.70,0.16,345,0.14,174,0.16,0.59,0.24,0.00
Raqo,LowLandLions,3,9,0.44,42,17,39,4.80,0.65,0.34,0.16,0.11,-50,107,-0.6,8.60,0.28,532,0.27,285,0.25,0.4,0.22,0.67
Raxhy,Team THRLL,2,10,0.44,53,30,79,4.40,0.67,0.27,0.28,0.30,345,194,-0.6,6.30,0.19,389,0.18,248,0.20,0.36,0.27,0.80
Reality,mCon esports Rotterdam,4,10,0.22,10,34,35,1.30,0.57,0.13,0.19,0.10,-500,-282,-15.5,7.30,0.27,346,0.25,198,0.23,0.42,0.16,0.10
Sebs,Team Echo Zulu,1,10,0.40,13,28,47,2.10,0.61,0.13,0.19,0.30,-148,-63,-6.3,7.70,0.26,388,0.21,224,0.23,0.34,0.08,0.40
Seem,mCon esports Rotterdam,3,9,0.88,26,36,25,1.40,0.70,0.36,0.22,0.00,-181,-43,0.6,8.00,0.28,444,0.33,233,0.26,0.3,0.14,0.11
Silas,Dynasty,3,10,0.50,29,30,44,2.40,0.69,0.27,0.24,0.50,-67,-221,-7,7.30,0.25,413,0.25,219,0.23,0.42,0.12,0.30
