Player,Team,Pos,GP,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,W%
Moopz,Team MCES,5,14,0.50,11,48,93,2.20,0.70,0.07,0.20,0.29,-26,-35,1.1,1.10,0.03,167,0.09,89,0.09,1.57,0.37,0.14
Nji,Vitality.Bee,2,5,0.40,7,16,34,2.60,0.59,0.10,0.26,0.60,-67,91,-2.4,4.80,0.12,192,0.10,156,0.14,0.53,0.43,0.40
Nolan,IZI Dream,5,16,0.50,10,60,132,2.40,0.66,0.05,0.29,0.31,19,115,-2.3,1.20,0.04,160,0.10,101,0.10,1.72,0.35,0.50
Ronaldo,Misfits Premier,3,17,0.25,74,40,88,4.10,0.71,0.33,0.20,0.12,101,75,1.1,9.40,0.30,488,0.26,297,0.26,0.38,0.19,0.59
Saddy,Team MCES,4,5,0.40,16,18,19,1.90,0.70,0.32,0.21,0.40,119,173,-2,8.30,0.28,442,0.25,251,0.25,0.49,0.33,0.00
Saken,Vitality.Bee,3,15,0.67,58,29,96,5.30,0.61,0.23,0.16,0.33,-8,-59,-2.5,8.50,0.26,493,0.25,262,0.24,0.5,0.19,0.47
SALUT A TOUS,GameWard,1,18,0.61,58,65,81,2.10,0.47,0.20,0.19,0.06,218,140,6.6,7.60,0.24,509,0.23,255,0.23,0.37,0.17,0.56
Seelame,GameWard,4,18,0.39,89,54,110,3.70,0.68,0.30,0.16,0.11,11,30,3.2,8.50,0.31,707,0.30,294,0.26,0.39,0.18,0.56
Shemek,GamersOrigin,1,15,0.64,28,15,111,9.30,0.53,0.11,0.09,0.07,-219,-89,-12.1,5.70,0.19,351,0.16,188,0.17,0.39,0.06,0.80
Skeanz,Vitality.Bee,2,10,0.10,36,25,99,5.40,0.74,0.20,0.21,0.60,273,84,1,5.60,0.17,365,0.16,215,0.18,0.41,0.29,0.50
SMILEY,GamersOrigin,4,15,0.21,83,39,115,5.10,0.75,0.31,0.23,0.40,148,126,5.7,9.10,0.33,659,0.30,320,0.28,0.54,0.38,0.80
Steeelback,Vitality.Bee,5,15,0.60,28,33,149,5.40,0.71,0.11,0.18,0.47,95,-50,-1.5,0.90,0.02,154,0.07,109,0.09,1.74,0.34,0.47
Targamas,Misfits Premier,5,17,0.63,17,38,147,4.30,0.72,0.08,0.19,0.29,-91,-225,-3.7,1.20,0.04,160,0.09,104,0.09,1.4,0.48,0.59
Toaster,IZI Dream,4,16,0.50,53,43,109,3.80,0.76,0.25,0.21,0.25,154,73,6,8.00,0.28,404,0.24,264,0.25,0.35,0.25,0.50
Tonerre,Solary,3,15,0.53,77,43,50,3.00,0.66,0.40,0.18,0.27,-45,32,0.2,8.70,0.30,541,0.28,277,0.27,0.38,0.17,0.33
toucouille,GamersOrigin,3,15,0.36,80,24,100,7.50,0.68,0.30,0.14,0.27,254,249,7.5,9.00,0.29,661,0.30,297,0.26,0.4,0.14,0.80
TynX,LDLC OL,2,14,0.64,43,56,143,3.30,0.76,0.18,0.22,0.36,59,349,8.4,6.00,0.20,443,0.19,230,0.20,0.33,0.25,0.57
Vetheo,LDLC OL,3,14,0.57,78,33,82,4.80,0.65,0.32,0.13,0.07,-17,125,4.7,8.40,0.29,663,0.27,298,0.25,0.4,0.25,0.57
Viking,IZI Dream,2,16,0.31,45,37,114,4.30,0.74,0.21,0.18,0.50,21,-30,-1.6,5.50,0.18,245,0.14,200,0.19,0.35,0.35,0.50
Von,GameWard,3,18,0.56,67,72,107,2.40,0.59,0.23,0.21,0.17,-51,-91,0.7,7.50,0.24,532,0.23,255,0.23,0.37,0.19,0.56
Wydz,Team MCES,2,1,1.00,3,5,5,1.60,0.62,0.23,0.21,0.00,-564,-645,-24,5.50,0.21,256,0.14,226,0.23,0.63,0.42,0.00
YellOwStaR,LDLC OL,5,14,0.50,10,51,162,3.40,0.70,0.04,0.20,0.14,-211,-108,-2.9,1.10,0.04,170,0.07,112,0.10,1.33,0.35,0.57
Yoppa,Vitality.Bee,1,15,0.60,51,37,87,3.70,0.55,0.20,0.21,0.07,386,425,11.5,7.50,0.24,517,0.25,250,0.22,0.31,0.17,0.47
8917,ahq eSports Club,1,9,0.67,17,18,44,3.40,0.63,0.18,0.21,0.11,55,87,1.8,7.90,0.23,386,0.24,255,0.22,0.34,0.11,0.67
Azhi,Berjaya Dragons,1,18,0.56,39,46,78,2.50,0.61,0.20,0.18,0.11,-118,67,-3.7,7.10,0.23,296,0.20,212,0.21,0.44,0.21,0.33
BoxeR,Resurgence,5,13,0.54,8,42,52,1.40,0.68,0.09,0.19,0.15,-149,-170,-0.2,1.10,0.03,104,0.07,83,0.09,1.41,0.27,0.15
Bruce,Machi Esports,4,18,0.44,74,28,95,6.00,0.71,0.31,0.16,0.11,37,80,3.4,9.40,0.33,600,0.31,312,0.27,0.42,0.37,0.72
Bush,Alpha Esports,1,19,0.26,49,61,82,2.10,0.52,0.20,0.24,0.37,39,-134,-5.3,7.20,0.22,337,0.20,219,0.21,0.33,0.2,0.42
Candy,PSG Talon,3,2,0.50,3,1,10,13.00,0.52,0.12,0.14,0.00,-107,-42,-1.5,8.60,0.24,355,0.19,250,0.21,0.33,0.16,1.00
Chen9,Alpha Esports,3,19,0.63,57,46,115,3.70,0.69,0.23,0.18,0.11,5,45,5.4,8.60,0.26,470,0.28,260,0.24,0.44,0.22,0.42
Chilly,Berjaya Dragons,5,1,1.00,0,5,9,1.80,0.64,0.00,0.28,0.00,66,161,-1,0.80,0.02,114,0.06,79,0.08,1.51,0.26,0.00
Coldenfeet,Nova Esports,4,20,0.65,60,33,82,4.30,0.74,0.31,0.14,0.20,-151,17,-3.5,9.00,0.31,476,0.28,268,0.26,0.45,0.27,0.40
Dawn,Liyab Esports,4,18,0.50,38,36,58,2.70,0.61,0.24,0.12,0.17,48,16,-2.1,8.90,0.33,442,0.27,255,0.27,0.43,0.3,0.22
Do1u1u,Berjaya Dragons,5,17,0.71,11,65,123,2.10,0.76,0.06,0.27,0.47,2,-41,-0.9,0.90,0.02,125,0.09,86,0.09,1.67,0.25,0.35
DoeDoii,Liyab Esports,2,18,0.56,37,66,83,1.80,0.76,0.23,0.22,0.44,-180,-142,-0.8,5.10,0.17,244,0.15,174,0.19,0.54,0.32,0.22
Enso,Berjaya Dragons,2,18,0.11,43,46,98,3.10,0.74,0.23,0.18,0.33,-267,-262,-3.2,5.00,0.15,202,0.13,174,0.17,0.41,0.46,0.33
Epic,Resurgence,2,18,0.56,30,45,64,2.10,0.75,0.24,0.16,0.22,-25,1,1.8,5.70,0.18,208,0.15,188,0.20,0.42,0.25,0.17
G4,Nova Esports,3,20,0.65,31,58,100,2.30,0.68,0.16,0.24,0.15,-178,-72,1.2,8.30,0.24,425,0.26,231,0.23,0.37,0.22,0.40
Gemini,Machi Esports,2,18,0.39,49,31,107,5.00,0.65,0.21,0.18,0.39,8,105,0.8,5.50,0.17,251,0.13,206,0.18,0.59,0.42,0.72
Hana,J Team,2,18,0.33,60,29,217,9.60,0.77,0.17,0.17,0.72,362,153,-0.2,6.00,0.18,333,0.16,232,0.19,0.44,0.52,0.83
Hanabi,PSG Talon,1,19,0.53,37,33,110,4.50,0.56,0.14,0.21,0.05,305,399,16.7,8.10,0.22,419,0.22,254,0.22,0.54,0.22,0.74
Holo,Hong Kong Attitude,2,19,0.74,33,43,106,3.20,0.74,0.18,0.18,0.26,-155,-81,0.1,4.70,0.13,187,0.11,159,0.16,0.41,0.48,0.37
K2,Berjaya Dragons,4,18,0.50,59,45,81,3.10,0.73,0.31,0.18,0.28,-31,84,1.7,10.10,0.39,517,0.35,302,0.31,0.57,0.38,0.33
Kaiwing,PSG Talon,5,19,0.53,11,31,202,6.90,0.81,0.04,0.20,0.05,-48,140,-1.5,0.90,0.02,158,0.08,108,0.09,1.46,0.35,0.74
Kanji,Liyab Esports,1,18,0.78,42,72,47,1.20,0.56,0.27,0.24,0.17,-308,-233,-9.9,6.90,0.24,343,0.22,207,0.22,0.36,0.15,0.22
Kartis,Hong Kong Attitude,1,19,0.37,40,51,73,2.20,0.60,0.21,0.21,0.11,-63,-110,-0.8,7.60,0.25,366,0.22,227,0.23,0.49,0.2,0.37
Koala,Machi Esports,5,18,0.56,11,35,142,4.40,0.64,0.05,0.20,0.28,13,110,0.4,1.10,0.03,156,0.08,109,0.10,1.76,0.37,0.72
Kongyue,ahq eSports Club,2,19,0.89,66,32,136,6.30,0.75,0.25,0.20,0.37,150,119,2.3,6.30,0.20,296,0.16,236,0.20,0.39,0.44,0.79
Kusuo,Resurgence,5,5,0.20,3,17,24,1.60,0.73,0.08,0.25,0.40,405,130,12.2,2.00,0.06,120,0.10,103,0.12,1.08,0.28,0.20
Lilv,J Team,4,18,0.67,110,33,150,7.90,0.72,0.31,0.20,0.33,116,11,-1.1,10.00,0.35,618,0.30,343,0.27,0.48,0.4,0.83
Maoan,Berjaya Dragons,3,18,0.56,39,49,100,2.80,0.73,0.20,0.19,0.28,-13,-68,-2.8,7.30,0.22,341,0.24,219,0.22,0.54,0.19,0.33
Mexi,Resurgence,4,12,0.67,14,31,31,1.50,0.66,0.21,0.17,0.25,-252,-273,-11.2,8.20,0.28,342,0.28,230,0.24,0.38,0.29,0.08
Mission,Machi Esports,3,18,0.56,56,29,89,5.00,0.61,0.23,0.17,0.17,309,159,6.7,8.60,0.27,528,0.27,287,0.25,0.35,0.2,0.72
MnM,Hong Kong Attitude,4,19,0.47,54,29,86,4.80,0.74,0.29,0.12,0.26,-96,65,4.3,9.30,0.35,538,0.32,274,0.28,0.44,0.31,0.37
Mocha,Liyab Esports,5,18,0.33,11,58,94,1.80,0.67,0.07,0.19,0.33,-37,-13,1.4,1.10,0.03,137,0.09,81,0.09,1.52,0.31,0.22
MoonBlack,Hong Kong Attitude,3,19,0.63,51,62,90,2.30,0.75,0.27,0.25,0.05,-217,71,-3.3,8.00,0.26,460,0.27,234,0.24,0.3,0.3,0.37
Nestea,J Team,3,18,0.44,81,29,168,8.60,0.69,0.23,0.17,0.50,-40,-99,-10.1,7.50,0.21,419,0.21,265,0.21,0.47,0.12,0.83
PK,Machi Esports,1,18,0.44,49,49,111,3.30,0.67,0.21,0.29,0.39,-21,-78,-4.6,6.80,0.21,392,0.21,234,0.21,0.38,0.14,0.72
PoP,Nova Esports,5,20,0.55,18,52,125,2.80,0.74,0.09,0.22,0.25,-42,-122,0.1,1.10,0.03,135,0.08,93,0.09,1.57,0.38,0.40
Quake,Resurgence,4,6,0.83,12,16,26,2.40,0.67,0.21,0.15,0.00,-459,-706,-11.3,7.50,0.26,312,0.20,215,0.22,0.4,0.36,0.33
Raven,Resurgence,3,18,0.28,34,60,63,1.60,0.78,0.27,0.21,0.17,-23,-4,1.3,8.30,0.27,345,0.26,241,0.26,0.48,0.21,0.17
Rest,J Team,1,18,0.39,94,31,159,8.20,0.71,0.26,0.18,0.33,338,212,7.3,7.80,0.23,553,0.27,300,0.24,0.28,0.16,0.83
Rex,Liyab Esports,3,18,0.39,30,68,59,1.30,0.56,0.19,0.23,0.22,-37,-22,-1.2,7.50,0.23,442,0.27,222,0.23,0.31,0.15,0.22
River,PSG Talon,2,19,0.74,55,42,137,4.60,0.73,0.21,0.27,0.21,-164,96,2.9,5.50,0.16,268,0.14,206,0.18,0.58,0.44,0.74
Rockky,Nova Esports,1,20,0.45,45,47,74,2.50,0.62,0.23,0.20,0.10,161,152,11.1,8.20,0.25,353,0.21,250,0.24,0.4,0.15,0.40
Ryan,Nova Esports,2,20,0.30,39,50,116,3.10,0.80,0.20,0.21,0.20,91,8,0.6,5.80,0.17,298,0.17,194,0.19,0.48,0.42,0.40
Shinsekai,Resurgence,1,18,0.67,24,77,53,1.00,0.62,0.19,0.27,0.11,-403,-304,-9.6,7.20,0.24,351,0.25,208,0.22,0.41,0.17,0.17
Tak,Hong Kong Attitude,5,12,0.33,9,37,77,2.30,0.78,0.08,0.24,0.33,-127,-166,-3.7,1.00,0.02,134,0.08,85,0.09,1.53,0.31,0.33
Tank,PSG Talon,3,17,0.53,76,26,107,7.00,0.77,0.32,0.17,0.24,225,153,7.2,9.40,0.29,527,0.28,303,0.26,0.34,0.2,0.71
Uniboy,ahq eSports Club,3,19,0.32,70,26,130,7.70,0.75,0.26,0.16,0.32,24,-141,-3.8,7.80,0.22,479,0.25,261,0.22,0.37,0.23,0.79
Unified,PSG Talon,4,19,0.37,81,25,117,7.90,0.75,0.31,0.16,0.00,177,20,8.2,9.50,0.31,574,0.30,310,0.26,0.43,0.38,0.74
Wako,ahq eSports Club,4,19,0.21,75,28,103,6.40,0.66,0.28,0.17,0.11,208,89,5.1,9.70,0.33,574,0.31,324,0.28,0.39,0.49,0.79
WeiLun,Alpha Esports,4,19,0.47,58,45,106,3.60,0.66,0.23,0.18,0.47,15,22,-5.3,9.10,0.33,451,0.26,288,0.27,0.43,0.36,0.42
Wing,Hong Kong Attitude,5,7,0.29,2,22,54,2.50,0.72,0.03,0.24,0.29,-162,-90,0.3,0.90,0.02,134,0.08,80,0.08,1.62,0.22,0.43
Woody,J Team,5,18,0.50,14,47,242,5.40,0.71,0.04,0.28,0.50,125,112,0.4,1.10,0.03,145,0.07,115,0.09,1.5,0.34,0.83
World6,Alpha Esports,2,8,0.38,32,18,60,5.10,0.80,0.28,0.16,0.63,164,5,0.9,5.60,0.16,325,0.17,218,0.19,0.36,0.36,0.50
YourRiver,Alpha Esports,2,11,0.36,38,28,67,3.80,0.78,0.28,0.20,0.73,173,-11,-8.3,5.30,0.17,318,0.19,199,0.19,0.45,0.36,0.36
Ysera,ahq eSports Club,5,19,0.53,10,42,162,4.10,0.64,0.04,0.26,0.16,73,61,-0.8,1.00,0.02,124,0.07,104,0.09,1.49,0.31,0.79
Yursan,Alpha Esports,5,19,0.53,16,52,156,3.30,0.69,0.06,0.21,0.47,54,-23,0.2,1.00,0.03,137,0.08,94,0.09,1.79,0.27,0.42
Ziv,ahq eSports Club,1,10,0.50,30,18,72,5.70,0.60,0.18,0.23,0.10,15,-74,-7,7.40,0.24,434,0.21,252,0.21,0.36,0.25,0.90
24,Team AURORA,4,4,0.75,4,15,4,0.50,0.73,0.36,0.23,0.00,-854,-280,-7,7.50,0.26,279,0.27,184,0.24,0.34,0.11,0.00
24,Royal Youth,4,6,0.33,10,16,18,1.80,0.64,0.23,0.19,0.17,-509,-149,-6.2,8.20,0.30,363,0.25,225,0.26,0.36,0.16,0.17
Absolute,Dark Passage,5,18,0.56,10,49,124,2.70,0.65,0.05,0.24,0.28,47,64,-0.6,1.00,0.03,130,0.08,96,0.09,1.1,0.18,0.50
Anduril,Royal Youth,2,4,1.00,11,17,6,1.00,0.53,0.34,0.19,0.00,78,376,4.3,5.80,0.20,302,0.19,201,0.22,0.28,0.22,0.00
Appen,Galatasaray Esports,2,12,0.58,29,23,62,4.00,0.68,0.22,0.18,0.33,-62,23,2,5.80,0.18,295,0.16,212,0.19,0.3,0.31,0.50
Armut,SuperMassive Esports,1,14,0.43,41,27,64,3.90,0.48,0.19,0.20,0.07,-21,101,6.4,7.80,0.25,352,0.19,259,0.22,0.51,0.14,0.71
Asteroid,Team AURORA,1,8,0.63,15,28,18,1.20,0.49,0.22,0.20,0.00,-526,-424,-17.6,6.80,0.23,232,0.17,197,0.21,0.34,0.1,0.13
Awaremei,Royal Youth,4,1,0.00,1,3,6,2.30,0.70,0.10,0.17,0.00,-188,-128,-12,7.90,0.27,469,0.28,209,0.23,0.41,0.17,0.00
Bendix,Team AURORA,3,14,0.50,32,42,50,2.00,0.66,0.26,0.17,0.14,-71,42,4.5,8.90,0.29,480,0.30,247,0.26,0.43,0.15,0.14
Beplush,Royal Youth,5,4,0.25,1,17,21,1.30,0.67,0.03,0.26,0.00,-418,-452,-1.3,1.10,0.03,144,0.10,82,0.09,1.31,0.22,0.25
Beplush,Team AURORA,5,8,0.25,6,30,34,1.30,0.59,0.09,0.22,0.13,-315,-249,-6.4,1.10,0.04,133,0.10,79,0.08,1.51,0.29,0.13
Black,Team AURORA,4,2,1.00,5,8,3,1.00,0.62,0.39,0.21,0.50,-612,-392,-8,9.00,0.39,572,0.36,268,0.30,0.24,0.29,0.00
Blue,1907 Fenerbahçe Esports,3,17,0.59,58,35,83,4.00,0.71,0.29,0.17,0.35,326,251,9.4,9.60,0.31,535,0.28,293,0.27,0.46,0.26,0.47
Bolulu,SuperMassive Esports,3,14,0.50,71,19,97,8.80,0.76,0.32,0.14,0.14,166,67,0.5,8.20,0.24,563,0.28,281,0.23,0.45,0.12,0.71
Brolia,5 Ronin,5,18,0.56,13,39,127,3.60,0.66,0.06,0.19,0.33,105,27,5.4,1.40,0.04,144,0.08,107,0.10,1.65,0.46,0.56
Chosen,1907 Fenerbahçe Esports,2,2,0.50,1,6,1,0.30,0.50,0.25,0.21,0.50,17,-415,-11,4.50,0.13,100,0.09,134,0.16,0.46,0.24,0.00
Chosen,Team AURORA,2,4,0.50,5,15,8,0.90,0.45,0.17,0.22,0.25,-231,-130,-1.5,4.50,0.13,180,0.13,136,0.16,0.59,0.38,0.00
Coldraa,SuperMassive Esports,4,4,0.50,14,9,19,3.70,0.83,0.35,0.18,0.25,554,547,9.3,7.70,0.29,580,0.35,275,0.28,0.45,0.26,0.25
CrawL,Team AURORA,2,2,0.50,1,14,7,0.60,0.38,0.05,0.32,1.00,-204,-503,-8.5,4.10,0.09,151,0.08,123,0.13,0.25,0.23,0.00
Crowno,Beşiktaş Esports,1,10,0.50,22,30,37,2.00,0.58,0.22,0.30,0.20,-13,27,1.6,7.60,0.24,405,0.27,240,0.23,0.54,0.17,0.60
Dailen,Team AURORA,5,2,0.50,3,4,14,4.30,0.81,0.14,0.09,0.50,-104,-162,-6.5,0.80,0.02,194,0.10,90,0.09,1.41,0.18,0.00
Dellal,Royal Youth,5,3,0.33,4,19,13,0.90,0.65,0.15,0.27,0.00,-387,-393,-0.3,1.20,0.06,212,0.14,89,0.10,0.83,0.36,0.00
Direnc,Team AURORA,1,2,0.50,6,8,4,1.30,0.48,0.29,0.18,0.00,-688,-625,-15,7.40,0.27,464,0.23,229,0.23,0.3,0.07,0.00
Efias,Beşiktaş Esports,5,19,0.37,12,26,124,5.20,0.72,0.06,0.12,0.11,12,-105,5.2,1.50,0.04,128,0.08,103,0.10,1.31,0.27,0.47
Ellam,1907 Fenerbahçe Esports,4,8,0.38,24,21,32,2.70,0.60,0.26,0.18,0.13,-113,97,0.5,8.60,0.27,449,0.25,267,0.25,0.36,0.19,0.38
Elramir,Beşiktaş Esports,2,19,0.32,23,41,123,3.60,0.77,0.12,0.20,0.37,-134,-237,-3.1,5.40,0.16,204,0.13,183,0.17,0.51,0.48,0.47
fabFabulous,Beşiktaş Esports,1,9,0.33,22,27,28,1.90,0.57,0.25,0.25,0.00,139,182,6.6,7.40,0.23,444,0.28,236,0.23,0.42,0.09,0.33
Fastlegged,SuperMassive Esports,5,4,1.00,3,11,26,2.60,0.73,0.08,0.22,0.25,345,250,9,1.80,0.05,189,0.12,111,0.12,0.93,0.18,0.25
Ferret,İstanbul Wildcats,2,18,0.28,40,29,204,8.40,0.75,0.12,0.20,0.56,-9,-99,-3.5,5.00,0.15,268,0.13,193,0.16,0.44,0.52,0.89
helo,Royal Youth,4,1,1.00,0,5,2,0.40,0.33,0.00,0.26,0.00,-969,-334,-33,5.00,0.16,319,0.16,123,0.14,0.13,0.04,0.00
HolyPhoenix,1907 Fenerbahçe Esports,4,10,0.10,40,21,41,3.90,0.69,0.34,0.19,0.20,174,-56,5.6,8.80,0.29,657,0.32,282,0.26,0.39,0.28,0.50
Husky Rider,5 Ronin,4,18,0.67,49,35,79,3.70,0.60,0.23,0.17,0.28,-124,-27,-5.4,8.00,0.26,411,0.23,250,0.23,0.46,0.22,0.56
Japone,1907 Fenerbahçe Esports,5,18,0.50,12,51,131,2.80,0.68,0.06,0.23,0.22,-41,51,-4.2,0.90,0.02,199,0.10,98,0.09,1.72,0.31,0.44
Jeyrus,Dark Passage,4,1,1.00,8,4,13,5.30,0.75,0.29,0.20,0.00,581,337,31,9.00,0.30,920,0.33,329,0.26,0.34,0.32,1.00
Juuzou,Dark Passage,1,18,0.50,27,41,90,2.90,0.57,0.13,0.20,0.11,-200,10,-3.9,7.40,0.24,337,0.21,218,0.21,0.47,0.11,0.50
KaKAO,SuperMassive Esports,2,14,0.50,31,29,102,4.60,0.61,0.14,0.22,0.21,354,515,9.1,5.90,0.16,245,0.14,218,0.18,0.49,0.39,0.71
Kaori,İstanbul Wildcats,4,18,0.72,112,25,135,9.90,0.76,0.34,0.18,0.33,485,389,15.6,9.50,0.33,775,0.37,342,0.29,0.39,0.26,0.89
Kireas,Dark Passage,2,18,0.67,52,48,93,3.00,0.70,0.25,0.24,0.33,134,130,3.4,5.00,0.14,202,0.13,190,0.19,0.38,0.4,0.50
Kituruken,SuperMassive Esports,2,4,0.50,6,10,22,2.80,0.70,0.15,0.20,0.00,-306,-498,-2.8,4.90,0.18,206,0.12,157,0.16,0.4,0.33,0.25
Kituruken,Team AURORA,2,4,0.50,16,15,24,2.70,0.69,0.28,0.22,0.75,363,25,0.3,5.00,0.17,287,0.16,203,0.19,0.45,0.26,0.50
Kofte,Galatasaray Esports,3,18,0.33,39,34,95,3.90,0.70,0.20,0.16,0.17,-122,9,-0.1,8.40,0.26,391,0.23,246,0.23,0.47,0.21,0.44
Ksaez,Dark Passage,3,18,0.44,69,23,81,6.50,0.73,0.34,0.11,0.22,24,-34,-1.8,9.10,0.31,489,0.30,282,0.27,0.46,0.23,0.50
Luana,Galakticos,1,18,0.39,53,29,76,4.40,0.53,0.22,0.21,0.28,210,87,1.4,8.00,0.25,389,0.20,260,0.22,0.46,0.14,0.78
Luger,Galakticos,4,18,0.39,76,25,86,6.50,0.67,0.31,0.18,0.33,272,101,6.1,9.10,0.29,571,0.29,311,0.26,0.31,0.22,0.78
madlifeonur,Royal Youth,5,10,0.10,2,33,39,1.20,0.53,0.03,0.20,0.20,-189,-62,-2.2,1.00,0.03,128,0.10,70,0.08,1.39,0.27,0.10
Madly,Team AURORA,1,8,0.63,13,35,23,1.00,0.41,0.15,0.26,0.25,-59,14,-2.4,7.00,0.22,347,0.22,205,0.21,0.4,0.13,0.25
Matilda,Royal Youth,1,18,0.61,38,56,50,1.60,0.62,0.27,0.18,0.11,-116,-152,-4.9,7.50,0.27,346,0.24,225,0.25,0.38,0.07,0.11
Maximillion,Dark Passage,3,1,1.00,10,3,8,6.00,0.64,0.36,0.15,0.00,-547,-286,-11,7.00,0.24,978,0.35,293,0.23,0.5,0.08,1.00
Meshade,Royal Youth,4,10,0.30,20,37,33,1.40,0.65,0.24,0.19,0.10,-536,-351,-9.6,7.90,0.29,418,0.29,227,0.25,0.29,0.26,0.10
Meshade,Royal Youth,5,1,0.00,0,4,2,0.50,0.33,0.00,0.21,0.00,-66,-568,-6,1.20,0.07,640,0.32,87,0.10,0.69,0.35,0.00
Midkid,1907 Fenerbahçe Esports,3,1,0.00,2,3,7,3.00,0.75,0.17,0.21,0.00,179,-6,6,7.80,0.24,317,0.15,216,0.21,0.37,0.09,0.00
Mojito,1907 Fenerbahçe Esports,2,16,0.44,42,53,93,2.50,0.65,0.20,0.27,0.56,31,-61,-3.7,5.00,0.15,254,0.13,184,0.17,0.55,0.33,0.50
Nikola,Galakticos,5,18,0.50,12,25,153,6.60,0.68,0.05,0.18,0.33,146,-101,-0.9,0.90,0.02,181,0.09,118,0.10,1.25,0.27,0.78
Nyxyvel,İstanbul Wildcats,1,1,0.00,1,3,16,5.70,0.55,0.03,0.25,1.00,-1013,-696,-18,6.00,0.19,206,0.09,206,0.14,0.36,0.04,1.00
Oguzkhan,Dark Passage,2,1,0.00,3,6,16,3.20,0.68,0.11,0.30,0.00,-408,-338,-5,4.60,0.14,299,0.11,208,0.16,0.32,0.47,1.00
Oncan,5 Ronin,1,18,0.39,54,51,69,2.40,0.58,0.26,0.24,0.33,96,-75,5.9,7.30,0.23,385,0.23,244,0.23,0.32,0.14,0.56
Padden,Galatasaray Esports,4,18,0.72,67,38,62,3.40,0.68,0.35,0.18,0.28,-197,-74,-4.3,8.50,0.29,541,0.31,275,0.26,0.28,0.27,0.44
Pbd,İstanbul Wildcats,5,18,0.50,11,32,221,7.30,0.71,0.03,0.22,0.44,-79,94,-4.2,0.80,0.02,156,0.07,107,0.09,1.29,0.22,0.89
pr1me,Dark Passage,1,1,0.00,5,2,11,8.00,0.57,0.18,0.10,0.00,137,606,11,8.80,0.29,445,0.16,306,0.24,0.32,0.13,1.00
Ragner,Galatasaray Esports,1,18,0.61,42,47,86,2.70,0.67,0.22,0.22,0.28,341,49,5,7.80,0.26,431,0.25,245,0.24,0.43,0.19,0.44
Rate,Beşiktaş Esports,4,18,0.61,47,40,71,3.00,0.69,0.28,0.20,0.06,-213,-169,-11.1,8.40,0.28,394,0.24,257,0.24,0.45,0.18,0.44
Rhemio,SuperMassive Esports,3,4,0.50,13,5,16,5.80,0.73,0.33,0.10,0.00,-76,81,-1.3,8.70,0.30,441,0.25,264,0.28,0.57,0.21,0.25
Rhioni,Dark Passage,4,2,0.00,0,7,2,0.30,0.50,0.00,0.23,0.00,-74,68,-1.5,7.90,0.28,219,0.24,202,0.24,0.32,0.2,0.00
Rhioni,Team AURORA,4,12,0.50,41,37,56,2.60,0.64,0.27,0.17,0.33,151,11,4.8,9.10,0.35,505,0.28,283,0.28,0.31,0.31,0.25
Robin,5 Ronin,2,18,0.44,41,49,99,2.90,0.66,0.19,0.23,0.61,179,139,2.1,6.00,0.19,301,0.17,209,0.19,0.25,0.45,0.56
Roulette,Galatasaray Esports,2,6,0.33,8,18,27,1.90,0.60,0.14,0.20,0.33,-324,-581,-8.5,4.70,0.12,173,0.11,153,0.15,0.38,0.29,0.33
Rum0r,Royal Youth,3,14,0.43,24,55,37,1.10,0.56,0.22,0.24,0.07,-275,-27,-0.8,7.80,0.23,313,0.22,207,0.23,0.4,0.1,0.14
Sacre,1907 Fenerbahçe Esports,1,18,0.56,32,36,90,3.40,0.58,0.15,0.16,0.22,206,205,7.3,8.00,0.24,386,0.21,241,0.22,0.46,0.11,0.44
Saw,Royal Youth,3,4,0.25,3,16,9,0.80,0.38,0.09,0.18,0.00,-600,6,-7.5,7.70,0.25,309,0.19,204,0.23,0.3,0.1,0.00
Serin,İstanbul Wildcats,3,18,0.56,120,27,102,8.20,0.68,0.37,0.19,0.22,16,-84,-1.6,8.60,0.27,538,0.26,302,0.25,0.33,0.21,0.89
Shawi Katami,Dark Passage,5,1,1.00,2,5,17,3.80,0.68,0.07,0.25,0.00,74,548,-1,0.90,0.03,151,0.05,132,0.10,1.16,0.29,1.00
Skewer,SuperMassive Esports,1,4,0.25,4,16,22,1.60,0.65,0.10,0.31,0.25,-741,-490,-24.3,5.90,0.19,270,0.16,167,0.17,0.37,0.08,0.25
SnowFlower,SuperMassive Esports,5,14,0.71,21,30,129,5.00,0.68,0.10,0.23,0.21,215,192,-0.4,1.20,0.04,202,0.11,129,0.11,1.42,0.42,0.71
Sparz,Team AURORA,5,8,0.50,7,28,46,1.90,0.61,0.08,0.20,0.38,131,63,0,1.00,0.03,175,0.11,97,0.10,1.4,0.34,0.25
Stalker,Team AURORA,2,1,0.00,0,1,2,2.00,1.00,0.00,0.06,0.00,-423,-652,-17,4.40,0.16,74,0.09,128,0.19,0.35,0.4,0.00
StarScreen,İstanbul Wildcats,1,17,0.59,42,27,129,6.30,0.58,0.14,0.21,0.35,-71,38,-5.3,7.60,0.24,386,0.18,246,0.21,0.43,0.21,0.88
